"electricity generation sources in Germany",Value,Year,Units
"Solar PV",11729,2010, GWh
"Solar PV",19599,2011, GWh
"Solar PV",26380,2012, GWh
"Solar PV",31010,2013, GWh
"Solar PV",36056,2014, GWh
"Solar PV",38726,2015, GWh
"Solar PV",38098,2016, GWh
"Solar PV",39401,2017, GWh
"Solar PV",43459,2018, GWh
"Solar PV",44383,2019, GWh
"Solar PV",49496,2020, GWh
"Solar PV",50472,2021, GWh
"Solar PV",61022,2022, GWh
"Solar PV",63576,2023, GWh
"Solar PV",74297,2024, GWh
"Solar thermal",,2000, GWh
"Solar thermal",,2001, GWh
"Solar thermal",,2002, GWh
"Solar thermal",,2003, GWh
"Solar thermal",,2004, GWh
"Solar thermal",,2005, GWh
"Solar thermal",,2006, GWh
"Solar thermal",,2007, GWh
"Solar thermal",,2008, GWh
"Solar thermal",0,2009, GWh
"Solar thermal",,2010, GWh
"Solar thermal",,2011, GWh
"Solar thermal",,2012, GWh
"Solar thermal",,2013, GWh
"Solar thermal",,2014, GWh
"Solar thermal",,2015, GWh
"Solar thermal",,2016, GWh
"Solar thermal",,2017, GWh
"Solar thermal",,2018, GWh
"Solar thermal",,2019, GWh
"Solar thermal",,2020, GWh
"Solar thermal",,2021, GWh
"Solar thermal",,2022, GWh
"Solar thermal",,2023, GWh
"Solar thermal",,2024, GWh
"Geothermal",,2000, GWh
"Geothermal",,2001, GWh
"Geothermal",,2002, GWh
"Geothermal",,2003, GWh
"Geothermal",,2004, GWh
"Geothermal",,2005, GWh
"Geothermal",,2006, GWh
"Geothermal",,2007, GWh
"Geothermal",18,2008, GWh
"Geothermal",19,2009, GWh
"Geothermal",28,2010, GWh
"Geothermal",19,2011, GWh
"Geothermal",25,2012, GWh
"Geothermal",80,2013, GWh
"Geothermal",98,2014, GWh
"Geothermal",133,2015, GWh
"Geothermal",175,2016, GWh
"Geothermal",163,2017, GWh
"Geothermal",178,2018, GWh
"Geothermal",197,2019, GWh
"Geothermal",231,2020, GWh
"Geothermal",244,2021, GWh
"Geothermal",206,2022, GWh
"Geothermal",195,2023, GWh
"Geothermal",214,2024, GWh
"Other sources",,2000, GWh
"Other sources",,2001, GWh
"Other sources",,2002, GWh
"Other sources",2043,2003, GWh
"Other sources",1941,2004, GWh
"Other sources",2915,2005, GWh
"Other sources",3539,2006, GWh
"Other sources",2122,2007, GWh
"Other sources",1989,2008, GWh
"Other sources",1885,2009, GWh
"Other sources",2082,2010, GWh
"Other sources",2100,2011, GWh
"Other sources",1819,2012, GWh
"Other sources",1765,2013, GWh
"Other sources",2023,2014, GWh
"Other sources",1824,2015, GWh
"Other sources",1888,2016, GWh
"Other sources",1701,2017, GWh
"Other sources",1567,2018, GWh
"Other sources",1487,2019, GWh
"Other sources",1646,2020, GWh
"Other sources",1624,2021, GWh
"Other sources",1275,2022, GWh
"Other sources",1548,2023, GWh
"Other sources",1249,2024, GWh
