timestamp,Germany_2035_Hourly_Demand_MW
2035-01-01 00:00:00,89153.81280615766
2035-01-01 01:00:00,97150.40159113059
2035-01-01 02:00:00,96984.1785511146
2035-01-01 03:00:00,105889.08374835097
2035-01-01 04:00:00,97652.12999406098
2035-01-01 05:00:00,105495.56905858443
2035-01-01 06:00:00,102780.06112538931
2035-01-01 07:00:00,105177.96113671761
2035-01-01 08:00:00,108297.3455543571
2035-01-01 09:00:00,101276.9505196315
2035-01-01 10:00:00,95028.32598086278
2035-01-01 11:00:00,97340.00399036887
2035-01-01 12:00:00,82602.39205664686
2035-01-01 13:00:00,85861.02120178805
2035-01-01 14:00:00,78505.07524790373
2035-01-01 15:00:00,70031.800814745
2035-01-01 16:00:00,71406.04462400482
2035-01-01 17:00:00,65610.68819525135
2035-01-01 18:00:00,59834.67952392874
2035-01-01 19:00:00,64369.16095515554
2035-01-01 20:00:00,70994.56449310792
2035-01-01 21:00:00,67745.5012973462
2035-01-01 22:00:00,74269.68276977538
2035-01-01 23:00:00,83286.99976288961
2035-01-02 00:00:00,89457.82703991959
2035-01-02 01:00:00,93657.0818691317
2035-01-02 02:00:00,95929.37744474082
2035-01-02 03:00:00,101825.80434005953
2035-01-02 04:00:00,106453.42132302141
2035-01-02 05:00:00,106320.56063104529
2035-01-02 06:00:00,110432.30282452857
2035-01-02 07:00:00,108511.14258075085
2035-01-02 08:00:00,99767.86945787967
2035-01-02 09:00:00,96569.32831712779
2035-01-02 10:00:00,97054.0916287043
2035-01-02 11:00:00,90779.22830173194
2035-01-02 12:00:00,82265.6203133494
2035-01-02 13:00:00,79698.52184044168
2035-01-02 14:00:00,72110.27956690181
2035-01-02 15:00:00,69823.18537302404
2035-01-02 16:00:00,68361.8633986962
2035-01-02 17:00:00,61686.48880205289
2035-01-02 18:00:00,58530.81927397437
2035-01-02 19:00:00,66144.13131464957
2035-01-02 20:00:00,68720.99547864025
2035-01-02 21:00:00,72295.75867201798
2035-01-02 22:00:00,83891.93020300825
2035-01-02 23:00:00,81093.84750641117
2035-01-03 00:00:00,82440.28713458478
2035-01-03 01:00:00,92407.06129411333
2035-01-03 02:00:00,90724.33284297983
2035-01-03 03:00:00,103528.73866272705
2035-01-03 04:00:00,105059.9268564831
2035-01-03 05:00:00,106037.81085948681
2035-01-03 06:00:00,107648.36786065197
2035-01-03 07:00:00,105280.63374198772
2035-01-03 08:00:00,106277.41603015049
2035-01-03 09:00:00,96124.96211747105
2035-01-03 10:00:00,95614.30939348947
2035-01-03 11:00:00,90931.46058352075
2035-01-03 12:00:00,86298.55808614772
2035-01-03 13:00:00,74774.85222882059
2035-01-03 14:00:00,72432.30690183747
2035-01-03 15:00:00,74955.59173847051
2035-01-03 16:00:00,68685.28544349497
